model,attack_method,attack_parameter,total_examples,correct_predictions,success_rate,total_chars,correct_chars,char_accuracy
best_double_conv_layers_model,bim,0.1,42,0,0.0,275,106,0.38545454545454544
best_double_conv_layers_model,bim,0.2,37,0,0.0,240,7,0.029166666666666667
best_double_conv_layers_model,bim,0.5,37,0,0.0,246,10,0.04065040650406504
best_double_conv_layers_model,fgsm,0.05,40,1,0.025,260,184,0.7076923076923077
best_double_conv_layers_model,fgsm,0.1,42,0,0.0,268,141,0.5261194029850746
best_double_conv_layers_model,fgsm,0.15,41,0,0.0,268,74,0.27611940298507465
best_double_conv_layers_model,gaussian,0.1,38,26,0.6842105263157895,248,235,0.9475806451612904
best_double_conv_layers_model,gaussian,0.2,38,0,0.0,249,27,0.10843373493975904
best_double_conv_layers_model,gaussian,0.25,36,0,0.0,238,10,0.04201680672268908
best_double_conv_layers_model,ifgs,0.7,42,0,0.0,273,38,0.1391941391941392
best_double_conv_layers_model,ifgs,0.8,37,0,0.0,241,38,0.15767634854771784
best_double_conv_layers_model,ifgs,0.9,42,0,0.0,273,27,0.0989010989010989
best_double_conv_layers_model,smooth_fgsm,sigma=0.5_epsilon=1.0,44,31,0.7045454545454546,287,274,0.9547038327526133
best_double_conv_layers_model,smooth_fgsm,sigma=0.5_epsilon=2.0,41,11,0.2682926829268293,271,206,0.7601476014760148
best_double_conv_layers_model,smooth_fgsm,sigma=1.0_epsilon=2.0,38,7,0.18421052631578946,247,149,0.6032388663967612
best_double_conv_layers_model,smooth_fgsm,sigma=1.5_epsilon=2.0,39,18,0.46153846153846156,253,180,0.7114624505928854
best_double_conv_layers_model,smooth_fgsm,sigma=2.0_epsilon=2.0,45,22,0.4888888888888889,295,236,0.8
best_with_residual_connection,bim,0.1,42,17,0.40476190476190477,275,240,0.8727272727272727
best_with_residual_connection,bim,0.2,37,0,0.0,240,82,0.3416666666666667
best_with_residual_connection,bim,0.5,37,0,0.0,246,10,0.04065040650406504
best_with_residual_connection,fgsm,0.05,40,28,0.7,260,246,0.9461538461538461
best_with_residual_connection,fgsm,0.1,42,0,0.0,268,137,0.5111940298507462
best_with_residual_connection,fgsm,0.15,41,0,0.0,268,31,0.11567164179104478
best_with_residual_connection,gaussian,0.1,38,5,0.13157894736842105,248,173,0.6975806451612904
best_with_residual_connection,gaussian,0.2,38,0,0.0,249,14,0.05622489959839357
best_with_residual_connection,gaussian,0.25,36,0,0.0,238,6,0.025210084033613446
best_with_residual_connection,ifgs,0.7,42,18,0.42857142857142855,273,226,0.8278388278388278
best_with_residual_connection,ifgs,0.8,37,7,0.1891891891891892,241,188,0.7800829875518672
best_with_residual_connection,ifgs,0.9,42,9,0.21428571428571427,273,194,0.7106227106227107
best_with_residual_connection,smooth_fgsm,sigma=0.5_epsilon=1.0,44,35,0.7954545454545454,287,277,0.9651567944250871
best_with_residual_connection,smooth_fgsm,sigma=0.5_epsilon=2.0,41,6,0.14634146341463414,271,208,0.7675276752767528
best_with_residual_connection,smooth_fgsm,sigma=1.0_epsilon=2.0,38,18,0.47368421052631576,247,203,0.8218623481781376
best_with_residual_connection,smooth_fgsm,sigma=1.5_epsilon=2.0,39,15,0.38461538461538464,253,215,0.849802371541502
best_with_residual_connection,smooth_fgsm,sigma=2.0_epsilon=2.0,45,29,0.6444444444444445,295,269,0.911864406779661
best_enhanced_augmentation,bim,0.1,42,3,0.07142857142857142,275,85,0.3090909090909091
best_enhanced_augmentation,bim,0.2,37,0,0.0,240,2,0.008333333333333333
best_enhanced_augmentation,bim,0.5,37,0,0.0,246,3,0.012195121951219513
best_enhanced_augmentation,fgsm,0.05,40,7,0.175,260,123,0.47307692307692306
best_enhanced_augmentation,fgsm,0.1,42,0,0.0,268,3,0.011194029850746268
best_enhanced_augmentation,fgsm,0.15,41,0,0.0,268,3,0.011194029850746268
best_enhanced_augmentation,gaussian,0.1,38,0,0.0,248,5,0.020161290322580645
best_enhanced_augmentation,gaussian,0.2,38,0,0.0,249,5,0.020080321285140562
best_enhanced_augmentation,gaussian,0.25,36,0,0.0,238,3,0.012605042016806723
best_enhanced_augmentation,ifgs,0.7,42,2,0.047619047619047616,273,101,0.36996336996337
best_enhanced_augmentation,ifgs,0.8,37,0,0.0,241,22,0.0912863070539419
best_enhanced_augmentation,ifgs,0.9,42,0,0.0,273,23,0.08424908424908426
best_enhanced_augmentation,smooth_fgsm,sigma=0.5_epsilon=1.0,44,26,0.5909090909090909,287,232,0.8083623693379791
best_enhanced_augmentation,smooth_fgsm,sigma=0.5_epsilon=2.0,41,0,0.0,271,1,0.0036900369003690036
best_enhanced_augmentation,smooth_fgsm,sigma=1.0_epsilon=2.0,38,1,0.02631578947368421,247,36,0.145748987854251
best_enhanced_augmentation,smooth_fgsm,sigma=1.5_epsilon=2.0,39,2,0.05128205128205128,253,32,0.12648221343873517
best_enhanced_augmentation,smooth_fgsm,sigma=2.0_epsilon=2.0,45,1,0.022222222222222223,295,39,0.13220338983050847
best_robust_model,bim,0.1,42,30,0.7142857142857143,275,262,0.9527272727272728
best_robust_model,bim,0.2,37,19,0.5135135135135135,240,215,0.8958333333333334
best_robust_model,bim,0.5,37,0,0.0,246,150,0.6097560975609756
best_robust_model,fgsm,0.05,40,31,0.775,260,251,0.9653846153846154
best_robust_model,fgsm,0.1,42,26,0.6190476190476191,268,251,0.9365671641791045
best_robust_model,fgsm,0.15,41,17,0.4146341463414634,268,230,0.8582089552238806
best_robust_model,gaussian,0.1,38,30,0.7894736842105263,248,240,0.967741935483871
best_robust_model,gaussian,0.2,38,20,0.5263157894736842,249,216,0.8674698795180723
best_robust_model,gaussian,0.25,36,8,0.2222222222222222,238,182,0.7647058823529411
best_robust_model,ifgs,0.7,42,31,0.7380952380952381,273,257,0.9413919413919414
best_robust_model,ifgs,0.8,37,17,0.4594594594594595,241,209,0.8672199170124482
best_robust_model,ifgs,0.9,42,24,0.5714285714285714,273,248,0.9084249084249084
best_robust_model,smooth_fgsm,sigma=0.5_epsilon=1.0,44,39,0.8863636363636364,287,282,0.9825783972125436
best_robust_model,smooth_fgsm,sigma=0.5_epsilon=2.0,41,30,0.7317073170731707,271,259,0.955719557195572
best_robust_model,smooth_fgsm,sigma=1.0_epsilon=2.0,38,33,0.868421052631579,247,241,0.9757085020242915
best_robust_model,smooth_fgsm,sigma=1.5_epsilon=2.0,39,32,0.8205128205128205,253,242,0.9565217391304348
best_robust_model,smooth_fgsm,sigma=2.0_epsilon=2.0,45,39,0.8666666666666667,295,289,0.9796610169491525
best_robust_model2,bim,0.1,42,26,0.6190476190476191,275,258,0.9381818181818182
best_robust_model2,bim,0.2,37,25,0.6756756756756757,240,226,0.9416666666666667
best_robust_model2,bim,0.5,37,3,0.08108108108108109,246,163,0.6626016260162602
best_robust_model2,fgsm,0.05,40,31,0.775,260,250,0.9615384615384616
best_robust_model2,fgsm,0.1,42,21,0.5,268,244,0.9104477611940298
best_robust_model2,fgsm,0.15,41,15,0.36585365853658536,268,233,0.8694029850746269
best_robust_model2,gaussian,0.1,38,30,0.7894736842105263,248,240,0.967741935483871
best_robust_model2,gaussian,0.2,38,19,0.5,249,219,0.8795180722891566
best_robust_model2,gaussian,0.25,36,10,0.2777777777777778,238,196,0.8235294117647058
best_robust_model2,ifgs,0.7,42,31,0.7380952380952381,273,261,0.9560439560439561
best_robust_model2,ifgs,0.8,37,19,0.5135135135135135,241,218,0.9045643153526971
best_robust_model2,ifgs,0.9,42,25,0.5952380952380952,273,252,0.9230769230769231
best_robust_model2,smooth_fgsm,sigma=0.5_epsilon=1.0,44,41,0.9318181818181818,287,284,0.9895470383275261
best_robust_model2,smooth_fgsm,sigma=0.5_epsilon=2.0,41,29,0.7073170731707317,271,256,0.9446494464944649
best_robust_model2,smooth_fgsm,sigma=1.0_epsilon=2.0,38,26,0.6842105263157895,247,234,0.9473684210526315
best_robust_model2,smooth_fgsm,sigma=1.5_epsilon=2.0,39,33,0.8461538461538461,253,246,0.9723320158102767
best_robust_model2,smooth_fgsm,sigma=2.0_epsilon=2.0,45,39,0.8666666666666667,295,289,0.9796610169491525
best_robust_augmented_model,bim,0.1,42,33,0.7857142857142857,275,263,0.9563636363636364
best_robust_augmented_model,bim,0.2,37,22,0.5945945945945946,240,220,0.9166666666666666
best_robust_augmented_model,bim,0.5,37,0,0.0,246,109,0.44308943089430897
best_robust_augmented_model,fgsm,0.05,40,35,0.875,260,255,0.9807692307692307
best_robust_augmented_model,fgsm,0.1,42,29,0.6904761904761905,268,250,0.9328358208955224
best_robust_augmented_model,fgsm,0.15,41,16,0.3902439024390244,268,235,0.8768656716417911
best_robust_augmented_model,gaussian,0.1,38,29,0.7631578947368421,248,237,0.9556451612903226
