model,attack_method,attack_parameter,total_examples,successful_attacks,success_rate,source_model_successes,transferred_successes,transfer_ratio
best_double_conv_layers_model,fgsm,0.1,17,1,0.058823529411764705,1,1,1.0
best_double_conv_layers_model,fgsm,0.5,17,1,0.058823529411764705,1,1,1.0
best_double_conv_layers_model,fgsm,1.0,17,9,0.5294117647058824,9,9,1.0
best_double_conv_layers_model,fgsm,2.0,17,12,0.7058823529411765,12,12,1.0
best_double_conv_layers_model,gaussian,0.1,17,5,0.29411764705882354,5,5,1.0
best_double_conv_layers_model,gaussian,0.2,17,17,1.0,17,17,1.0
best_double_conv_layers_model,gaussian,0.3,17,17,1.0,17,17,1.0
best_double_conv_layers_model,gaussian,0.4,17,17,1.0,17,17,1.0
best_double_conv_layers_model,bim,0.01,17,1,0.058823529411764705,1,1,1.0
best_double_conv_layers_model,bim,0.05,17,1,0.058823529411764705,1,1,1.0
best_double_conv_layers_model,bim,0.1,17,9,0.5294117647058824,9,9,1.0
best_double_conv_layers_model,ifgs,0.7,17,17,1.0,17,17,1.0
best_double_conv_layers_model,ifgs,0.8,17,17,1.0,17,17,1.0
best_double_conv_layers_model,ifgs,0.9,17,17,1.0,17,17,1.0
best_double_conv_layers_model,smooth_fgsm,sigma=0.5_epsilon=0.5,17,2,0.11764705882352941,2,2,1.0
best_double_conv_layers_model,smooth_fgsm,sigma=1.0_epsilon=1.0,17,3,0.17647058823529413,3,3,1.0
best_double_conv_layers_model,smooth_fgsm,sigma=1.5_epsilon=1.0,17,2,0.11764705882352941,1,1,1.0
best_double_conv_layers_model,smooth_fgsm,sigma=1.0_epsilon=1.5,17,5,0.29411764705882354,5,5,1.0
best_with_residual_connection,fgsm,0.1,17,2,0.11764705882352941,1,0,0.0
best_with_residual_connection,fgsm,0.5,17,1,0.058823529411764705,1,0,0.0
best_with_residual_connection,fgsm,1.0,17,0,0.0,9,0,0.0
best_with_residual_connection,fgsm,2.0,17,11,0.6470588235294118,12,7,0.5833333333333334
best_with_residual_connection,gaussian,0.1,17,17,1.0,5,5,1.0
best_with_residual_connection,gaussian,0.2,17,17,1.0,17,17,1.0
best_with_residual_connection,gaussian,0.3,17,17,1.0,17,17,1.0
best_with_residual_connection,gaussian,0.4,17,17,1.0,17,17,1.0
best_with_residual_connection,bim,0.01,17,2,0.11764705882352941,1,0,0.0
best_with_residual_connection,bim,0.05,17,1,0.058823529411764705,1,0,0.0
best_with_residual_connection,bim,0.1,17,1,0.058823529411764705,9,1,0.1111111111111111
best_with_residual_connection,ifgs,0.7,17,7,0.4117647058823529,17,7,0.4117647058823529
best_with_residual_connection,ifgs,0.8,17,11,0.6470588235294118,17,11,0.6470588235294118
