model,attack_method,attack_parameter,total_examples,correct_predictions,success_rate,total_chars,correct_chars,char_accuracy
best_double_conv_layers_model,fgsm,0.1,17,16,0.9411764705882353,113,112,0.9911504424778761
best_double_conv_layers_model,fgsm,0.5,17,16,0.9411764705882353,113,112,0.9911504424778761
best_double_conv_layers_model,fgsm,1.0,17,8,0.47058823529411764,113,104,0.9203539823008849
best_double_conv_layers_model,fgsm,2.0,17,5,0.29411764705882354,113,94,0.831858407079646
best_double_conv_layers_model,gaussian,0.1,17,12,0.7058823529411765,113,108,0.9557522123893806
best_double_conv_layers_model,gaussian,0.2,17,0,0.0,113,9,0.07964601769911504
best_double_conv_layers_model,gaussian,0.3,17,0,0.0,113,7,0.061946902654867256
best_double_conv_layers_model,gaussian,0.4,17,0,0.0,113,6,0.05309734513274336
best_double_conv_layers_model,bim,0.01,17,16,0.9411764705882353,113,112,0.9911504424778761
best_double_conv_layers_model,bim,0.05,17,16,0.9411764705882353,113,112,0.9911504424778761
best_double_conv_layers_model,bim,0.1,17,8,0.47058823529411764,113,104,0.9203539823008849
best_double_conv_layers_model,ifgs,0.7,17,0,0.0,113,19,0.168141592920354
best_double_conv_layers_model,ifgs,0.8,17,0,0.0,113,18,0.1592920353982301
best_double_conv_layers_model,ifgs,0.9,17,0,0.0,113,13,0.11504424778761062
best_double_conv_layers_model,smooth_fgsm,sigma=0.5_epsilon=0.5,17,15,0.8823529411764706,113,111,0.9823008849557522
best_double_conv_layers_model,smooth_fgsm,sigma=1.0_epsilon=1.0,17,14,0.8235294117647058,113,110,0.9734513274336283
best_double_conv_layers_model,smooth_fgsm,sigma=1.5_epsilon=1.0,17,15,0.8823529411764706,113,111,0.9823008849557522
best_double_conv_layers_model,smooth_fgsm,sigma=1.0_epsilon=1.5,17,12,0.7058823529411765,113,105,0.9292035398230089
best_with_residual_connection,fgsm,0.1,17,15,0.8823529411764706,113,111,0.9823008849557522
best_with_residual_connection,fgsm,0.5,17,16,0.9411764705882353,113,112,0.9911504424778761
best_with_residual_connection,fgsm,1.0,17,17,1.0,113,113,1.0
best_with_residual_connection,fgsm,2.0,17,6,0.35294117647058826,113,94,0.831858407079646
best_with_residual_connection,gaussian,0.1,17,0,0.0,113,73,0.6460176991150443
