Model Name              , Learning Rate, Batch Size, Epochs, Validation Loss    , Validation Accuracy , Full Sequence Accuracy, Best Sequence Accuracy, Best Epoch, Training Time (s) , Parameters
Double Conv Layers      ,        0.0001,         16,     30, 1.4815560579299927 , 0.7131051421165466  ,     0.2109375         ,     0.23828125        ,         26, 309.69223523139954,    6450019
Double Conv Layers      ,        0.0001,         16,     50, 1.1913570165634155 , 0.7597403526306152  ,     0.234375          ,     0.26171875        ,         48, 517.2406976222992 ,    6450019
Double Conv Layers      ,        0.0001,         32,     30, 1.9771637916564941 , 0.6151121854782104  ,     0.0794270858168602,     0.0794270858168602,         30, 287.8422508239746 ,    6450019
Double Conv Layers      ,        0.0001,         32,     50, 3.7390782833099365 , 0.10094450414180756 ,     0.0               ,     0.0               ,          1, 106.17351245880127,    6450019
Double Conv Layers      ,        0.0005,         16,     30, 0.3008754551410675 , 0.9315229654312134  ,     0.6796875         ,     0.70703125        ,         30, 316.59993743896484,    6450019
Double Conv Layers      ,        0.0005,         16,     50, 0.25440776348114014, 0.9456906914710999  ,     0.74609375        ,     0.7734375         ,         46, 518.4587459564209 ,    6450019
Double Conv Layers      ,        0.0005,         32,     30, 0.39269864559173584, 0.9114522337913513  ,     0.6341145634651184,     0.6341145634651184,         30, 289.80420303344727,    6450019
Double Conv Layers      ,        0.0005,         32,     50, 0.4785062074661255 , 0.9020071029663086  ,     0.6137152910232544,     0.6106770634651184,         43, 477.63844656944275,    6450019
Double Conv Layers      ,        0.001 ,         16,     30, 0.22446022927761078, 0.9510035514831543  ,     0.78125           ,     0.78125           ,         30, 311.1231474876404 ,    6450019
Double Conv Layers      ,        0.001 ,         16,     50, 0.21053612232208252, 0.9551357626914978  ,     0.828125          ,     0.828125          ,         39, 509.2897582054138 ,    6450019
Double Conv Layers      ,        0.001 ,         32,     30, 0.38734233379364014, 0.9179457426071167  ,     0.6514756679534912,     0.6514756679534912,         28, 289.559632062912  ,    6450019
Double Conv Layers      ,        0.001 ,         32,     50, 0.2355334758758545 , 0.948051929473877   ,     0.7721354365348816,     0.7721354365348816,         47, 480.6846568584442 ,    6450019
With Residual Connection,        0.0001,         16,     30, 1.1791985034942627 , 0.759149968624115   ,     0.23828125        ,     0.265625          ,         29, 318.67023491859436,    6458339
With Residual Connection,        0.0001,         16,     50, 0.9359549283981323 , 0.790436863899231   ,     0.30078125        ,     0.35546875        ,         46, 528.1855652332306 ,    6458339
With Residual Connection,        0.0001,         32,     30, 1.9526385068893433 , 0.6221960186958313  ,     0.0794270858168602,     0.0703125         ,         29, 295.97260212898254,    6458339
With Residual Connection,        0.0001,         32,     50, 1.6986559629440308 , 0.6788665652275085  ,     0.1193576380610466,     0.1315104216337204,         46, 488.7974843978882 ,    6458339
With Residual Connection,        0.0005,         16,     30, 0.506366491317749  , 0.8949232697486877  ,     0.56640625        ,     0.59375           ,         18, 297.8874022960663 ,    6458339
With Residual Connection,        0.0005,         16,     50, 0.3359391987323761 , 0.9232587218284607  ,     0.6796875         ,     0.6796875         ,         31, 434.61165499687195,    6458339
With Residual Connection,        0.0005,         32,     30, 0.5674379467964172 , 0.8748524785041809  ,     0.4765625         ,     0.4765625         ,         26, 293.93768072128296,    6458339
With Residual Connection,        0.0005,         32,     50, 0.6180059313774109 , 0.8730814456939697  ,     0.5303819179534912,     0.5303819179534912,         46, 489.0110852718353 ,    6458339
